id,label,softwaretype,con_medicine,con_biochemistry_genetics_and_molecular_biology,con_agricultural_and_biological_sciences,con_neuroscience,con_computer_science,con_mathematics,con_environmental_science,con_immunology_and_microbiology,con_pharmacology_toxicology_and_pharmaceutics,con_chemistry,con_physics_and_astronomy,con_social_sciences,con_NA,con_veterinary,con_health_professions,con_chemical_engineering,con_engineering,con_nursing,con_materials_science,con_multidisciplinary,con_psychology,mt_usage,mt_mention,mt_deposition,mt_creation,community_no,degree_in,degree_out,betweenness
<https://www.nitrc.org/projects/wfu_pickatlas>,Pickatlas,Application,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,7.074802056210486,4.200000000000001,0
<https://www.fz-juelich.de/inm/inm-1/DE/Forschung/_docs/SPMAnatomyToolbox/SPMAnatomyToolbox_node.html>,SPM anatomy toolbox,PlugIn,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2.6794832957949275,5,0
<https://digitalinsights.qiagen.com/products-overview/discovery-insights-portfolio/analysis-and-visualization/qiagen-ipa>,Ingenuity Pathway Analysis,Application,6,5,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,11,28.605508755134426,8.000000000000004,11
<http://data.gesis.org/somesci/DATACAM_01>,Datacam,Application,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0.06050266006237387,3,0
<https://www.neurobs.com/menu_presentation/menu_features/features_overview>,Presentation,Application,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,3.5820149413645486,4.666666666666666,0
<http://www.optflux.org/>,Optflux,Application,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,3.60230179028133,6,0
<http://www.optflux.org/cbfa>,CBFA,PlugIn,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,3.60230179028133,6,0
<https://www.wikidata.org/wiki/Q741303>,JDK,Application,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,3.60230179028133,6,0
<https://www.wikidata.org/wiki/Q838189>,GLPK,Application,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,3.60230179028133,6,0
<https://www.partek.com/partek-genomics-suite>,Genomics Suite,Application,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0.2309782608695652,3,0
<https://cran.r-project.org/package=nlme>,nlme,PlugIn,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0.5696885054138237,3.0000000000000004,0
<https://www.wikidata.org/wiki/Q24451405>,R Studio,Application,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,1.4461761964692148,2.6666666666666665,0
<http://brainmap.co.uk/>,ICC toolbox,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2.129413267783723,8,0
<https://www.medizin.uni-tuebingen.de/das-klinikum/einrichtungen/kliniken/kinderklinik/kinderheilkunde-iii/forschung-iii/software>,LI-toolbox,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2.129413267783723,8,0
<https://www.wikidata.org/wiki/Q4654344>,AsReml,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.008403361344537815,1,0
<http://data.gesis.org/somesci/EYELINK_API_01>,EyeLink API,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.008403361344537815,1,0
<https://github.com/pdollar/toolbox/blob/master/videos/behaviorAnnotator.m>,Behavior Annotator,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.008403361344537815,1,0
<https://sites.google.com/site/neuromapsoftware>,NeuroMap,Application,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2,0.008403361344537815,1,0
<https://mathworks.com/products/curvefitting.html>,Curve Fitting Toolbox,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0.2084033613445378,2,0
<http://www.macvide.com/Macvide_FlashVideo_Converter>,MacVide,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2.008403361344538,3,0
<https://www.wikidata.org/wiki/Q165658>,Flash,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2.008403361344538,3,0
<https://www.wikidata.org/wiki/Q234657>,Actionscript,ProgrammingEnvironment,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2.008403361344538,3,0
<https://www.wikidata.org/wiki/Q41793788>,BrainVoyager,Application,4,5,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,1.8526717015920293,1.2,0
<https://doi.org/10.1086/590395>,REGRESSIONv2.m,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.008403361344537815,1,0
<https://www.wikidata.org/wiki/Q378530>,Praat,Application,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,5.016806722689076,1.75,4756
<https://bmsr.usc.edu/software/adapt>,ADAPT,Application,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.008403361344537815,1,0
<https://www.kubios.com/>,Kubios HRV,Application,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,16,1.5292366946778713,2,0
<http://www.vislab.ucl.ac.uk/cogent_2000.php>,Cogent 2000,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.008403361344537815,1,0
<https://www.wikidata.org/wiki/Q3737246>,FSL,Application,7,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,22.11534029325777,5.142857142857144,9349
<https://github.com/sccn/eeglab>,EEGLAB,Application,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,4.55063784457096,1.8333333333333335,1588
<https://www.wikidata.org/wiki/Q197520>,NumPy,PlugIn,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,6.931944105342612,6.5,0
<https://cran.r-project.org/package=tnet>,tnet,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.008403361344537815,1,0
<http://www.brainvoyager.com/products/brainvoyagerqx.html>,BVQX,PlugIn,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.2084033613445378,2,0
<https://cran.r-project.org/package=lme4>,lme4,PlugIn,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,8.36252522514382,4.5,780
<https://sites.google.com/site/bctnet>,Brain Connectivity Toolbox,PlugIn,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2.2859627722056564,2.333333333333333,0
<https://www.tedia.eu/products/sw-scopewin.html>,ScopeWin,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.008403361344537815,1,0
<http://www0.cs.ucl.ac.uk/staff/g.ridgway/vbm/get_totals.m>,get_totals,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.008403361344537815,1,0
<http://doi.org/10.1371/journal.pone.0091620>,neurofeedback toolbox,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.05007002801120448,2,0
<https://www.fil.ion.ucl.ac.uk/spm/toolbox/fieldmap>,Fieldmap,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.05007002801120448,2,0
<https://www.wikidata.org/wiki/Q364>,GitHub,Application,1,13,13,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,9,22.40731592885293,2.692307692307693,12933.5
<http://www.cgbayesnets.com/>,CGBayesNets,PlugIn,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0.008403361344537815,1,0
<https://cran.r-project.org/package=mclust>,adjustedRandIndex,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.6024893828499143,5,0
<https://cran.r-project.org/src/contrib/Archive/mixer>,Mixer,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.6024893828499143,5,0
<https://www.wikidata.org/wiki/Q847296>,Visual C++,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0.010935006914158068,2,0
<https://mathworks.com/products/statistics.html>,statistics toolbox,PlugIn,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0.5168067226890757,1.5,0
<https://www.wikidata.org/wiki/Q576474>,GoldWave,Application,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1.085935006914158,3,599
<http://www.vislab.ucl.ac.uk/cogent.php>,Cogent,Application,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8.210935006914157,11,0
<https://afni.nimh.nih.gov/pub/dist/doc/program_help/3dClustSim.html>,3dClustsim,PlugIn,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8.210935006914157,11,0
<https://afni.nimh.nih.gov/pub/dist/doc/program_help/3dDeconvolve.html>,3dDeconvolve,PlugIn,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8.210935006914157,11,0
<https://afni.nimh.nih.gov/pub/dist/doc/program_help/3dDetrend.html>,3dDetrend,PlugIn,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8.210935006914157,11,0
<https://afni.nimh.nih.gov/pub/dist/doc/program_help/3dFWHMx.html>,3dFWHMx,PlugIn,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8.210935006914157,11,0
<https://afni.nimh.nih.gov/pub/dist/doc/program_help/3dmaskave.html>,3dmaskave,PlugIn,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8.210935006914157,11,0
<https://afni.nimh.nih.gov/pub/dist/doc/program_help/3dttest++.html>,3dttest+ +,PlugIn,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8.210935006914157,11,0
<https://afni.nimh.nih.gov/pub/dist/doc/program_help/waver.html>,waver,PlugIn,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8.210935006914157,11,0
<https://github.com/ANTsX/ANTs>,Advanced Normalization Tools,Application,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,8.210935006914157,11,0
<https://www.wikidata.org/wiki/Q4751099>,AFNI,Application,4,5,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,26.47944919934868,7.800000000000004,14059
<http://neurocics.udd.cl/LANtoolbox.html>,LAN toolbox,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3.019156049516581,5,0
<http://openmeeg.github.io/>,openMEEG,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.019156049516581,5,0
<https://compumedicsneuroscan.com/tag/scan>,Scan,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.019156049516581,5,0
<https://www.wikidata.org/wiki/Q64816680>,BrainStorm,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.019156049516581,5,0
<http://prtools.tudelft.nl/>,PRTools,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.008403361344537815,1,0
<http://www.ledalab.de/>,Ledalab,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1.091736694677871,3,0
<https://www.mindmedia.com/downloads>,Biotrace,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1.091736694677871,3,0
<http://wwwold.fi.isc.cnr.it/users/thomas.kreuz/sourcecode.html>,SPIKE-dist,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.008403361344537815,1,0
<https://www.wikidata.org/wiki/Q197492>,SciPy,PlugIn,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,1.0986107720092781,3.5,0
<http://www.thomaskoenig.ch/index.php/software/mapwin>,MapWin,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,2.192094427204013,6,0
<https://mitsar-eeg.com/eeg-system-solutions/wineeg-research-software>,WinEEG,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,2.192094427204013,6,0
<https://www.mindmedia.com/losungen/qeeg/sloreta>,sLORETA,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,2.192094427204013,6,0
<http://www.babyvoc.org/IVICT.html>,IVICT,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1.2584033613445378,3,0
<https://www.fon.hum.uva.nl/praat/manual/Articulatory_synthesis.html>,articulatory synthesizer,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1.2584033613445378,3,0
<https://pypi.org/project/psamm>,PSAMM,Application,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0.008403361344537815,1,0
<https://afni.nimh.nih.gov/pub/dist/doc/program_help/3dFDR.html>,3dFDR,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2.2493965453756966,6,0
<https://perso.unifr.ch/roberto.caldara/index.php?page=3>,iMap,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2.2493965453756966,6,0
<https://www.sr-research.com/data-viewer>,EyeLink Data Viewer,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2.2493965453756966,6,0
<http://www.neuroexplorer.com/>,NeuroExplorer,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,2.029236694677871,4,0
<https://www.tdt.com/component/opensorter>,Open sorter,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2.029236694677871,4,0
<https://www.tdt.com/docs/synapse/gizmos/pca-spike-sorting>,principal component analysis spike sorter,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2.029236694677871,4,0
<http://www.arringtonresearch.com/viewpoint.html>,ViewPoint,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1.4762605042016808,6,0
<https://www.nitrc.org/projects/isc-toolbox>,ISC-toolbox,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1.4762605042016808,6,0
<https://www.wikidata.org/wiki/Q746261>,LabVIEW,ProgrammingEnvironment,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0.08532643826761473,2,0
<https://www.nitrc.org/projects/nirs_spm>,NIRS_SPM,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.008403361344537815,1,0
<https://github.com/andrewssobral/tensor_toolbox>,Tensor Toolbox,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.008403361344537815,1,0
<https://www.gabamrs.com/>,Gannet,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.008403361344537815,1,0
<https://www.sr-research.com/experiment-builder>,Experiment Builder,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.019156049516580828,2,0
<http://ctrax.sourceforge.net/>,Ctrax,Application,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1.0168067226890756,1.5,0
<http://ctrax.sourceforge.net/fixerrors.html>,FixErrors,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0.5084033613445378,2,0
<http://www.ee.ic.ac.uk/hp/staff/dmb/voicebox/voicebox.html>,voicebox,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0.010935006914158068,2,0
<http://psychtoolbox.org/docs/EyelinkToolbox>,Eyelink Toolbox,PlugIn,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1.091736694677871,3,0
<https://www.rogue-research.com/tms/brainsight-tms>,Brainsight,Application,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1.091736694677871,3,0
<https://github.com/rrueedi/metabomatching>,Metabomatching,Application,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0.008403361344537815,1,0
<http://www.techilatechnologies.com/>,Techila Technologies,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1.0084033613445378,2,0
<https://www.wikidata.org/wiki/Q17054505>,Google Cloud,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1.0084033613445378,2,0
<https://github.com/CellProfiler>,CellProfiler,Application,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,5,1.2968648998060763,4,0
<https://github.com/ijpb/MorphoLibJ>,MorphoLibJ,PlugIn,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1.2968648998060763,4,0
<https://www.wikidata.org/wiki/Q5425748>,Fiji,PlugIn,1,3,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,5,13.649642677583854,5.5,0
<https://www.wikidata.org/wiki/Q735748>,Pixelmator,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.7940860215053763,4,0
<https://www.biodiscovery.com/imagene>,ImaGene,Application,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,1.5,2,0
<http://www2.umdnj.edu/lilabweb/publications/AccuTyping.html>,AccuTyping,Application,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,13,1.5,2,0
<https://www.moleculardevices.com/products/additional-products/genepix-microarray-systems-scanners>,Genepix Pro,Application,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,13,15.56491935483871,10.5,3172
<https://github.com/kingsfordgroup/sailfish>,Sailfish,Application,0,2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,13,14.56491935483871,10,1588
<https://www.wikidata.org/wiki/Q5462055>,FlowJo,Application,4,4,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,13,16.07027649769585,5.000000000000002,4752
<http://code.google.com/p/rna-star>,STAR,Application,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,20.15699156736825,17,0
<https://bioconductor.org/packages/edgeR>,edgeR,PlugIn,1,3,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,45.53441092220696,21.33333333333332,0
<http://bonsai.hgc.jp/~mdehoon/software/cluster>,Cluster,Application,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,16.950535430988893,13.5,0
<http://jtreeview.sourceforge.net/>,TreeView,Application,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,16.950535430988893,13.5,0
<http://rseqc.sourceforge.net/>,RSeQC,Application,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,13.06491935483871,19,0
<http://subread.sourceforge.net/>,Subread,Application,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,13.06491935483871,19,0
<http://support.illumina.com/sequencing/sequencing_software/casava.html>,CASAVA,Application,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,13.06491935483871,19,0
<https://bioconductor.org/packages/DESeq2>,DESeq2,PlugIn,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,13.06491935483871,19,0
<https://cibersort.stanford.edu/>,CIBERSORT,Application,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,13,13.06491935483871,19,0
<https://cran.r-project.org/package=Rtsne>,Rtsne,PlugIn,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,13.06491935483871,19,0
<https://jp.support.illumina.com/sequencing/sequencing_software/real-time_analysis_rta.html>,RTA,Application,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,13.06491935483871,19,0
<https://kim.bio.upenn.edu/software/pivot.shtml>,PIVOT,Application,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,13.06491935483871,19,0
<https://toppgene.cchmc.org/enrichment.jsp>,ToppFun,Application,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,13.06491935483871,19,0
<https://www.adaptivebiotech.com/immunoseq>,immunoSEQ Analyzer,Application,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,13.06491935483871,19,0
<https://www.agilent.com/en/product/automated-electrophoresis/bioanalyzer-systems>,Bioanalyzer,Application,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,13.06491935483871,19,0
<https://moleculardevices.com/products/axon-patch-clamp-system/acquisition-and-analysis-software/pclamp-software-suite>,pClamp,Application,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,4.033333333333333,3,6
<http://www.ensembl.org/>,Ensembl,Application,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,5.267676767676768,3,4744
<https://www.wikidata.org/wiki/Q5281973>,DS modeling,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0.8333333333333333,2,0
<https://www.wikidata.org/wiki/Q11239942>,Primer,Application,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,10.786208390237803,3.8333333333333317,3172
<https://www.wikidata.org/wiki/Q7265483>,Q-LAB,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0.601010101010101,4,0
<http://bejerano.stanford.edu/great>,GREAT,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1.8333333333333333,3,0
<http://ctg.cncr.nl/software/magma>,MAGMA,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,1.8333333333333333,3,0
<https://www.wikidata.org/wiki/Q28444600>,BioMart,Application,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,4.845454545454546,5,0
<http://www.viewpoint.fr/en/p/software/videotrack>,VideoTrack,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2.2,4,0
<https://www.fei.com/software/visilog>,Visilog,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2.2,4,0
<https://www.wikidata.org/wiki/Q13574543>,Igor Pro,Application,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,2.7,2,0
<https://cran.r-project.org/package=vegan>,Vegan,PlugIn,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,16,7.303093834542603,7.666666666666663,0
<https://www.wikidata.org/wiki/Q67141781>,FastQC,Application,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14,14.758738879196208,12.5,0
<https://www.wikidata.org/wiki/Q7388648>,samtools,Application,4,5,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,12,50.8043669070823,14.59999999999998,943
<http://mirdb.org/>,miRDB,Application,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,13.094603858099163,12,0
<https://github.com/rajewsky-lab/mirdeep2>,Mirdeep2,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,6.092072212529542,15,0
<https://github.com/usadellab/Trimmomatic>,Trimmomatic,Application,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,7.592072212529542,8,1588
<https://www.bioconductor.org/packages/edge>,edge,PlugIn,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,6.092072212529542,15,0
<https://www.ncbi.nlm.nih.gov/tools/primer-blast>,Primer-BLAST,Application,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,6.092072212529542,15,0
